index,distance_dtw
11,3.6089581473014944
12,4.477548153290436
13,4.664772019286136
14,5.395096324506259
15,5.661345826967843
16,5.467932801181968
17,5.519210807749682
18,5.1861641255216195
19,4.287306358611325
20,4.5555180403251345
21,3.785549615419852
22,4.395763453674013
23,4.599245411279413
24,4.212524967609103
25,4.8948124976438026
26,4.694995125723863
27,5.191713091868661
28,5.095301699657655
29,4.843156009379697
30,5.006119145186315
31,5.050591545483914
32,4.92837383639183
33,3.8462350860392
34,4.112650568169645
35,3.9782325261713227
36,3.753854817027935
37,4.434404301649173
38,4.410348461418745
39,4.9588594738917555
40,4.981740561026378
41,4.6674154036559
42,4.565689102016798
43,4.831666005242836
44,5.415284535141138
45,5.1718189366122616
46,4.045836829970028
47,4.600115094739087
48,4.764754445715716
49,3.9246831823914485
50,4.352046146435694
51,4.129063982244397
52,4.828515081103538
53,5.130923393765943
54,4.718927184836301
55,3.92997575577424
56,4.399400448679974
57,4.656772495114735
58,5.079643179085057
59,4.271692598767345
60,4.510651562634542
61,4.540514031825263
62,4.052279250289472
63,4.327592763827679
64,4.2445239637222185
65,4.0697845199254
66,4.919901538783654
67,4.519630980583257
68,4.066118779652575
69,3.948188204184661
70,4.078472949769494
71,4.067069690945351
72,4.320702056077126
73,4.895364594367895
74,5.245924252931663
75,5.47975110530444
76,5.516349391172187
77,5.271677600026419
78,4.5479421836097575
79,4.152842822387931
80,3.6406752318391926
81,3.8471946044657797
82,5.111925519514416
83,5.60587795731927
84,6.163704993669058
85,6.160742420914014
86,6.006060672835478
87,6.211379667416844
88,5.669435498795759
89,5.809727526767869
90,5.577960704361474
91,5.82031261943498
92,5.552550208442543
93,4.977688078698478
94,2.8604522409424606
95,2.769518600730268
96,2.788251787772057
97,5.101688852457066
98,5.221063675325259
99,4.758595635491581
100,5.209979784745848
101,4.951494414703614
102,5.138717953840616
103,4.844241304402695
104,5.036709311288438
105,5.486345962681107
106,5.772228230302165
107,5.704986005177625
108,5.5333984097715785
109,1.1430316061598378
110,2.2659706653527567
111,1.9330567568345696
112,5.33712019405687
113,5.524831928895749
114,5.740665196359066
115,5.252265068180829
116,4.721412882072742
117,3.438711542553862
118,3.8158401177614327
119,3.537411577879038
120,4.8809425234569055
121,5.146919742351646
122,4.889046040454674
123,5.166850118122586
124,5.366050708982605
125,5.538529435744063
126,5.870621898350255
127,5.770625201466707
128,5.517548962800971
129,5.263076622141863
130,4.706717283164146
131,5.3914511922688755
132,5.353253175427395
133,4.469353694237215
134,4.5066758232977255
135,3.9264928859830506
136,5.415859750724276
137,5.694887033652777
138,4.91264721437437
139,5.3803898616911985
140,5.702688491482566
141,5.5355974386163185
142,5.665506387624455
143,5.403605910016877
144,5.17615996388259
145,5.552259835136155
146,4.9427571131643955
147,4.768707077391755
148,4.71814389537383
149,4.742362893204809
150,4.671684921389216
151,4.724276760229305
152,5.05711840450433
153,4.533079876547305
154,4.276586525645482
155,4.8154649120127
156,4.759903657927361
157,4.497556621568435
158,4.6354367386222375
159,4.644720163520137
160,3.9530698158014523
161,4.707673103713482
162,4.601011564116099
163,4.850041827893879
164,4.813843519227653
165,4.4906043279930845
166,5.060284159779527
167,4.555826188021672
168,4.858633046047792
169,4.8498854530692075
170,4.615409164082762
171,4.699594841426622
172,4.69064720112892
173,5.25269117122768
174,4.464094272036301
175,4.304312122525428
176,4.369480705303848
177,3.3363945921124216
178,4.4872252691673085
179,3.9061666791700804
180,4.486264597342463
181,4.214531099611909
182,4.285811554938546
183,5.107519921466837
184,4.3668039750738785
185,5.076487288299398
186,5.289312790419172
187,5.1182798545158725
188,4.750225264839258
189,4.3375081726487466
190,4.349734876763744
191,5.090005314533793
192,5.04443874673784
193,4.974853059099442
194,4.166429585919522
195,4.150603514290927
196,3.4849741089820294
197,3.2213922584606243
198,3.840678872728605
199,5.192682657778748
200,4.772726334114199
201,4.695218876068062
202,5.210003102048
203,5.327314732837019
204,5.115783412660443
205,4.695861105978016
206,4.147493370558753
207,4.865187981320935
208,5.17425684572989
209,5.42480746572809
210,5.641769973032448
211,5.102709328837404
212,2.9288586497798166
213,3.758367903674893
214,2.930346021674833
215,4.031760973215871
216,4.0406103519971115
217,4.7728199720269755
218,5.465994193252853
219,6.158999028777159
220,4.654545991861371
221,3.9998490952532886
222,3.6795603253607783
223,4.1968376011870845
224,3.917291621192824
225,4.779635864458178
226,4.359815848985278
227,5.4795708123611995
228,6.00745085180498
229,4.829201235861986
230,4.4029105482877915
231,4.139805873867746
232,4.398180015932239
233,5.5367936039058145
234,5.5637731658436875
235,3.4762299530709133
236,4.599422837171507
237,4.595038551358438
238,4.439303283022512
239,4.411514475780812
240,4.052662741480566
241,4.60993227405251
242,5.272114491100061
243,5.539807289406713
244,4.312990950187563
